scenario,budget,method,arm,stratum,units,mean_inclusion_probability,rho
aligned,40,uniform,0,0,1800,0.01,1.0
aligned,40,uniform,0,1,200,0.009999999999999998,1.0
aligned,40,uniform,1,0,1800,0.01,1.0
aligned,40,uniform,1,1,200,0.009999999999999998,1.0
aligned,40,historical_active,0,0,1800,0.007901155377475447,0.0
aligned,40,historical_active,0,1,200,0.03890259983491297,0.0
aligned,40,historical_active,1,0,1800,0.005601051263947758,0.0
aligned,40,historical_active,1,1,200,0.03957754039227817,0.0
aligned,40,fixed_mixture,0,0,1800,0.00895057768873772,0.5
aligned,40,fixed_mixture,0,1,200,0.02445129991745649,0.5
aligned,40,fixed_mixture,1,0,1800,0.007800525631973879,0.5
aligned,40,fixed_mixture,1,1,200,0.024788770196139086,0.5
aligned,40,robust_path,0,0,1800,0.009731218478199218,0.8719383422115913
aligned,40,robust_path,0,1,200,0.013701314849253939,0.8719383422115913
aligned,40,robust_path,1,0,1800,0.009436663332334925,0.8719383422115913
aligned,40,robust_path,1,1,200,0.013787748855938762,0.8719383422115913
aligned,40,oracle_residual,0,0,1800,0.0031229867502827,
aligned,40,oracle_residual,0,1,200,0.07866034140210029,
aligned,40,oracle_residual,1,0,1800,0.0014353484977496656,
aligned,40,oracle_residual,1,1,200,0.08031464136560837,
aligned,100,uniform,0,0,1800,0.025,1.0
aligned,100,uniform,0,1,200,0.025,1.0
aligned,100,uniform,1,0,1800,0.025,1.0
aligned,100,uniform,1,1,200,0.025,1.0
aligned,100,historical_active,0,0,1800,0.01975288844368861,0.0
aligned,100,historical_active,0,1,200,0.09725649958728246,0.0
aligned,100,historical_active,1,0,1800,0.014002628159869393,0.0
aligned,100,historical_active,1,1,200,0.09894385098069547,0.0
aligned,100,fixed_mixture,0,0,1800,0.02237644422184431,0.5
aligned,100,fixed_mixture,0,1,200,0.06112824979364126,0.5
aligned,100,fixed_mixture,1,0,1800,0.019501314079934693,0.5
aligned,100,fixed_mixture,1,1,200,0.061971925490347725,0.5
aligned,100,robust_path,0,0,1800,0.02432804619552251,0.8719383422162534
aligned,100,robust_path,0,1,200,0.034253287122798,0.8719383422162534
aligned,100,robust_path,1,0,1800,0.023591658330888592,0.8719383422162534
aligned,100,robust_path,1,1,200,0.03446937213950218,0.8719383422162534
aligned,100,oracle_residual,0,0,1800,0.007807466875706749,
aligned,100,oracle_residual,0,1,200,0.19665085350525072,
aligned,100,oracle_residual,1,0,1800,0.003588371244374164,
aligned,100,oracle_residual,1,1,200,0.200786603414021,
aligned,250,uniform,0,0,1800,0.0625,1.0
aligned,250,uniform,0,1,200,0.0625,1.0
aligned,250,uniform,1,0,1800,0.0625,1.0
aligned,250,uniform,1,1,200,0.0625,1.0
aligned,250,historical_active,0,0,1800,0.04938222110922154,0.0
aligned,250,historical_active,0,1,200,0.24314124896820621,0.0
aligned,250,historical_active,1,0,1800,0.03500657039967349,0.0
aligned,250,historical_active,1,1,200,0.24735962745173876,0.0
aligned,250,fixed_mixture,0,0,1800,0.05594111055461078,0.5
aligned,250,fixed_mixture,0,1,200,0.15282062448410308,0.5
aligned,250,fixed_mixture,1,0,1800,0.04875328519983676,0.5
aligned,250,fixed_mixture,1,1,200,0.15492981372586936,0.5
aligned,250,robust_path,0,0,1800,0.06082011548875313,0.8719383422122023
aligned,250,robust_path,0,1,200,0.08563321780772679,0.8719383422122023
aligned,250,robust_path,1,0,1800,0.05897914582711007,0.8719383422122023
aligned,250,robust_path,1,1,200,0.08617343034950434,0.8719383422122023
aligned,250,oracle_residual,0,0,1800,0.019490691917038772,
aligned,250,oracle_residual,0,1,200,0.4918886171382411,
aligned,250,oracle_residual,1,0,1800,0.008940184940027874,
aligned,250,oracle_residual,1,1,200,0.5022334911481586,
aligned,600,uniform,0,0,1800,0.14999999999999997,1.0
aligned,600,uniform,0,1,200,0.14999999999999997,1.0
aligned,600,uniform,1,0,1800,0.14999999999999997,1.0
aligned,600,uniform,1,1,200,0.14999999999999997,1.0
aligned,600,historical_active,0,0,1800,0.11851733066213169,0.0
aligned,600,historical_active,0,1,200,0.5835389975236948,0.0
aligned,600,historical_active,1,0,1800,0.08401576895921635,0.0
aligned,600,historical_active,1,1,200,0.5936631058841728,0.0
