scenario,budget,method,target,proxy_target,bias,bias_mcse,rmse,empirical_variance,exact_design_variance,mean_estimated_variance,correct_selection,selection_mcse,mean_audits,audit_sd,audit_p05,audit_p95,zero_variance_fraction,wald_coverage,wald_coverage_mcse,wald_width,wald_decisive_rate,wald_wrong_decisive_rate,bernstein_coverage,bernstein_coverage_mcse,bernstein_width,bernstein_decisive_rate,bernstein_wrong_decisive_rate
aligned,40,uniform,0.006500000000000105,0.010499999999980717,0.0009024999999806159,0.0017722433072493435,0.0560224954817256,0.0031408463400900903,0.00302383125,0.00302307105375,0.556,0.015711906313366306,40.25,6.202416462151664,30.0,51.0,0.0,0.95,0.006892024376045114,0.20532295991028915,0.059,0.008,1.0,0.0,1.8741867588350194,0.0,0.0
aligned,40,historical_active,0.006500000000000105,0.010499999999980717,0.0007578429935945607,0.0012075941947567567,0.03817590577149349,0.0014582837392102196,0.0014402971792961774,0.0014604867823411177,0.566,0.015673034167001616,39.929,6.234968631343212,30.0,50.0,0.0,0.957,0.006414904519944161,0.12852102258227185,0.045,0.015,1.0,0.0,2.0,0.0,0.0
aligned,40,fixed_mixture,0.006500000000000105,0.010499999999980717,0.0005757072959445553,0.00131930699018933,0.04170325889326481,0.0017405709343624289,0.0016621614973117331,0.0016675954298255354,0.558,0.01570464899321217,40.161,6.222362637840774,30.0,51.0,0.0,0.957,0.006414904519944161,0.14855183523696766,0.041,0.01,1.0,0.0,1.9934380154836213,0.0,0.0
aligned,40,robust_path,0.006500000000000105,0.010499999999980717,0.0007596993244200151,0.0015898965381745402,0.0502575404706678,0.002527771002099387,0.0023759413123822107,0.002395903740452164,0.578,0.015617810345883958,40.303,6.183156347887576,30.0,51.0,0.0,0.953,0.00669260786241059,0.1830982547092291,0.048,0.012,1.0,0.0,1.911457579280214,0.0,0.0
aligned,40,oracle_residual,0.006500000000000105,0.010499999999980717,0.0006951579999806131,0.0006050870789133457,0.019137593561881144,0.0003661303730678854,0.0003496209806250002,0.00034770919373062527,0.657,0.015011695440555674,39.78,6.0164605706177285,30.0,49.0,0.0,0.944,0.007270763371201131,0.07288142624441668,0.067,0.009,1.0,0.0,2.0,0.0,0.0
aligned,100,uniform,0.006500000000000105,0.010499999999980717,0.0014123999999806104,0.0010645003650855492,0.03367525411930763,0.0011331610272672674,0.00119120625,0.0011972407199999997,0.597,0.01551099609954177,99.76,10.296427361780221,84.0,117.0,0.0,0.958,0.006343185319695463,0.13323954356716114,0.049,0.012,1.0,0.0,1.1264023769834335,0.0,0.0
aligned,100,historical_active,0.006500000000000105,0.010499999999980717,0.0004928958296433611,0.0007527829180702216,0.023798285356627258,0.0005666821217383179,0.0005577926217184706,0.0005555519408930108,0.629,0.015276092432294327,100.054,9.863689795222495,85.0,116.04999999999995,0.0,0.951,0.006826346021115546,0.08426992698271235,0.055,0.021,1.0,0.0,1.4319461897436614,0.0,0.0
aligned,100,fixed_mixture,0.006500000000000105,0.010499999999980717,6.0737327566830375e-05,0.0008146978364728867,0.025750194585901845,0.0006637325647536023,0.0006465383489246931,0.000644986217453652,0.609,0.015431104950715617,99.885,10.186242414871861,84.0,116.0,0.0,0.948,0.007021111023192843,0.09567672262223602,0.043,0.017,1.0,0.0,1.2409866889164365,0.0,0.0
aligned,100,robust_path,0.006500000000000105,0.010499999999980717,0.0007894538534116606,0.0009383232268670804,0.02966805125023952,0.0008804504780782503,0.0009320502749596472,0.0009374051396114422,0.609,0.015431104950715617,99.83,10.243438291317425,84.0,117.0,0.0,0.964,0.005891010100144119,0.11769327632556488,0.04,0.012,1.0,0.0,1.1492681006994088,0.0,0.0
aligned,100,oracle_residual,0.006500000000000105,0.010499999999980717,0.0001723023999806129,0.00034623641185702134,0.010944837201154176,0.00011987965289562492,0.00012152214225000005,0.00012111394131637507,0.722,0.01416742743055351,99.75,9.043078971084864,85.0,116.0,0.0,0.955,0.00655553201502365,0.043092651111352125,0.092,0.01,1.0,0.0,2.0,0.0,0.0
aligned,250,uniform,0.006500000000000105,0.010499999999980717,0.001024839999980611,0.0006787667122244755,0.021478217393442134,0.000460724249624024,0.00045815624999999996,0.0004617979725,0.632,0.015250442616527561,249.703,15.53287034198963,225.0,276.0,0.0,0.951,0.006826346021115546,0.08371107584312282,0.065,0.014,1.0,0.0,0.6770148815416318,0.0,0.0
aligned,250,historical_active,0.006500000000000105,0.010499999999980717,0.00031963778711967435,0.00046704041008059345,0.014765188323165925,0.00021812674464824887,0.0002047907986873882,0.0002096310028749034,0.679,0.0147634345597493,250.209,15.348579670376601,226.0,275.0,0.0,0.952,0.006759881655768837,0.0541279331259217,0.053,0.007,1.0,0.0,0.8547198363243868,0.0,0.0
aligned,250,fixed_mixture,0.006500000000000105,0.010499999999980717,0.0006446532842804692,0.0005133234182931641,0.016237395378980713,0.0002635009317681788,0.0002402890895698772,0.00024398257252344964,0.67,0.014869431730903503,249.824,15.645824229353206,225.95,277.04999999999995,0.0,0.952,0.006759881655768837,0.060135661693169355,0.08,0.012,1.0,0.0,0.7440712769698444,0.0,0.0
aligned,250,robust_path,0.006500000000000105,0.010499999999980717,0.0006051154121309308,0.0005916793226213505,0.01871097274485859,0.00035008442081766025,0.0003544938599815082,0.0003572631468400639,0.643,0.015150940564862632,249.758,15.623941357530228,225.0,277.0,0.0,0.956,0.006485676526007139,0.07354698126081627,0.07,0.014,1.0,0.0,0.6903278357941482,0.0,0.0
aligned,250,oracle_residual,0.006500000000000105,0.010499999999980717,-0.00025352777656806325,0.00017012595379404236,0.005383137899744892,2.8942840154332635e-05,3.0282799751106227e-05,3.0397400617842696e-05,0.881,0.010239091756596383,250.623,11.257690998006945,233.0,269.0,0.0,0.958,0.006343185319695463,0.02160287367184177,0.208,0.001,1.0,0.0,2.0,0.0,0.0
